Lat,Long,Curr Heading, Target Heading, Error in Angle,Filtered Error in Angle
39.74721,-83.8138131667,-2.07014304848,2.77712544645,-1.43591681226,-1.6714228868484498
39.7472103333,-83.8138156667,-1.43824479524,2.76781729388,-2.07712321805,-1.8087285518646241
39.7472101667,-83.8138178333,-1.64756821806,2.75911649959,-1.87650058952,-1.7295496463775635
39.7472103333,-83.8138206667,-1.51204050437,2.74842513448,-2.02271966832,-1.8224005222320556
39.7472105,-83.8138223333,-1.4711276743,2.74229816282,-2.06975947006,-1.8964039087295532
39.747211,-83.813825,-1.3854483768,2.73296246571,-2.16477446467,-2.0421754360198974
39.7472121667,-83.8138265,-0.909753162535,2.72922132029,-2.64421082435,-2.1555929660797117
39.7472125,-83.813829,-1.43824479171,2.72042995561,-2.12451055986,-2.2051949501037598
39.7472136667,-83.8138315,-1.13416916916,2.71313668278,-2.43587945524,-2.287826919555664
39.7472138333,-83.8138331667,-1.4711276743,2.70730949927,-2.10474813361,-2.2948246955871583
39.7472148333,-83.8138351667,-1.10714871779,2.70173587943,-2.47430070995,-2.3567299365997316
39.7472165,-83.8138375,-0.950546841676,2.69618602506,-2.63645244044,-2.3551782608032226
39.747218,-83.8138376667,-0.110657221174,2.6981383893,2.80879561047,-1.368517017364502
39.7472193333,-83.8138385,-0.558599312948,2.69743143292,-3.02715456131,-1.4867720127105712
39.7472206667,-83.8138403333,-0.942000040379,2.69322782384,-2.64795744296,-1.595413827896118
39.7472223333,-83.813841,-0.380506375642,2.69369720564,3.07420358128,-0.48571300506591797
39.7472241667,-83.8138425,-0.68572951365,2.69156398824,-2.90589180529,-0.5396008968353272
39.7472256667,-83.8138441667,-0.837981225008,2.68834720216,-2.75685688001,-1.6527314186096191
39.747227,-83.8138458333,-0.896055381972,2.68490418693,-2.70222573828,-1.5877456665039062
39.7472283333,-83.813846,-0.124354994547,2.68654674273,2.81090173728,-0.4959738731384277
39.74723,-83.813847,-0.54041949839,2.68593023505,-3.05683557374,-1.7221817016601562
39.7472316667,-83.8138483333,-0.674740947423,2.6842180047,-2.92422635506,-1.7258485794067382
39.7472335,-83.8138495,-0.566729215768,2.6833495121,-3.03310657932,-1.7810985088348388
39.7472345,-83.8138503333,-0.694738276197,2.68223779656,-2.90620923443,-1.821895217895508
39.7472365,-83.8138516667,-0.588002601908,2.68112339945,-3.01405930582,-2.9868874073028566
39.7472378333,-83.8138528333,-0.718829996981,2.67949767212,-2.88485763808,-2.952491807937622
39.7472393333,-83.8138538333,-0.588002610106,2.6786898045,-3.01649289257,-2.970945119857788
39.7472405,-83.8138548333,-0.708626272128,2.67736297245,-2.8971960626,-2.943763017654419
39.747242,-83.8138553333,-0.321750552976,2.67815553765,2.99990609063,-1.7625399589538575
39.7472438333,-83.8138563333,-0.499346720051,2.67789280617,-3.10594578096,-1.780917263031006
39.747246,-83.8138578333,-0.605544663605,2.67659915038,-3.00104149319,-1.8041540145874024
39.747247,-83.8138591667,-0.927295214591,2.67403117027,-2.68185892232,-1.7372272491455079
39.7472481667,-83.8138601667,-0.70862627915,2.67277038023,-2.9017886478,-1.7381457805633544
39.74725,-83.8138615,-0.628796284572,2.67153878689,-2.98285023572,-2.9346970558166503
39.7472518333,-83.8138611667,0.17985349911,2.67536512315,2.49551162404,-1.814405584335327
39.7472536667,-83.8138605,0.348771003584,2.68016077264,2.33138976905,-0.7479193687438965
39.7472551667,-83.8138616667,-0.661043166555,2.67889585248,-2.94324628814,-0.8001968383789062
39.747256,-83.8138621667,-0.540419500271,2.67864336849,-3.06412243842,-0.8326635837554932
39.7472578333,-83.8138626667,-0.266252048167,2.67987831933,2.9461303675,0.3531325340270996
39.747259,-83.8138631667,-0.404891786285,2.68011702261,3.0850088089,0.4710319995880127
39.747261,-83.8138628333,0.165148676839,2.68403295052,2.51888427369,0.5085309028625489
39.7472625,-83.8138623333,0.321750554397,2.68767912054,2.36592856614,1.5703659057617188
39.7472621667,-83.8138608333,1.78946527267,2.69163542484,0.902170152171,2.363624429702759
39.7472645,-83.8138601667,0.278299658201,2.69692022807,2.41862056987,2.2581224918365477
39.7472656667,-83.8138583333,1.00406711278,2.70397143869,1.69990432591,1.9811015844345092
39.7472678333,-83.813858,0.152649327902,2.70793653367,2.55528720577,1.9883821725845336
39.7472686667,-83.8138576667,0.380506377112,2.71005319553,2.32954681842,1.9811058282852172
39.7472701667,-83.8138563333,0.72664233833,2.71600030135,1.98935796302,2.198543381690979
39.7472711667,-83.8138548333,0.982793723247,2.72174958299,1.73895585974,2.0626104354858397
39.7472723333,-83.8138538333,0.708626269118,2.72622782898,2.01760155987,2.126149868965149
39.7472733333,-83.8138526667,0.862170060686,2.73096457697,1.86879451629,1.9888513565063477
39.7472743333,-83.8138501667,1.19028994723,2.73963307949,1.54934313226,1.8328105926513671
39.7472758333,-83.8138496667,0.321750554397,2.74299238892,2.42124183452,1.919187355041504
39.7472768333,-83.8138486667,0.785398163397,2.74718754227,1.96178937887,1.9637540578842163
39.7472781667,-83.8138475,0.718830003017,2.75226582609,2.03343582307,1.9669209241867065
39.7472793333,-83.8138456667,1.00406710927,2.75909133561,1.75502422634,1.9441668510437011
39.7472808333,-83.8138441667,0.785398161029,2.76530192038,1.97990375936,2.0302789926528932
39.7472823333,-83.8138431667,0.588002603548,2.77000058635,2.1819979828,1.9824302434921264
39.7472835,-83.813841,1.07685495807,2.77774061317,1.7008856551,1.9302495002746582
39.7472846667,-83.8138401667,0.620249485983,2.78151476228,2.16126527629,1.9558154106140138
39.7472858333,-83.8138378333,1.10714871536,2.78970967349,1.68256095813,1.9413227558135986
39.7472875,-83.8138366667,0.610725970112,2.79496335814,2.18423738803,1.9821894884109497
39.747289,-83.8138353333,0.72664233833,2.80049607586,2.07385373753,1.9605606317520141
39.7472905,-83.8138346667,0.418224329579,2.80402793164,2.38580360206,2.097544240951538
39.747292,-83.8138331667,0.785398161029,2.8099869649,2.02458880387,2.070208930969238
39.7472928333,-83.8138313333,1.14416883367,2.81623082137,1.6720619877,2.068109154701233
39.7472926667,-83.8138291667,1.64756821756,2.8224754045,1.17490718693,1.866243100166321
39.7472928333,-83.8138273333,1.48013643959,2.82808185996,1.34794542037,1.7210614442825318
39.7472928333,-83.813826,1.57079632679,2.83205271339,1.2612563866,1.4961519718170166
39.7472926667,-83.8138241667,1.6614562133,2.8373725559,1.17591634261,1.3264174699783324
39.7472933333,-83.813822,1.27229739521,2.84448557911,1.5721881839,1.3064426898956298
39.7472936667,-83.81382,1.40564764938,2.85079759936,1.44514994998,1.3604912281036377
39.7472936667,-83.813819,1.57079632679,2.85380880817,1.28301248138,1.3475046396255492
39.7472928333,-83.8138158333,1.82812004177,2.86265639295,1.03453635118,1.30216064453125
39.7472926667,-83.8138146667,1.7126933814,2.86606062211,1.15336724071,1.2976508378982543
39.7472926667,-83.8138123333,1.57079632679,2.87318058036,1.30238425356,1.243690061569214
39.747293,-83.8138103333,1.40564764938,2.87957995045,1.47393230107,1.2494465351104735
39.7472926667,-83.813809,1.81577498992,2.88340037281,1.06762538289,1.206369113922119
39.7472928333,-83.813807,1.48765509549,2.88969128149,1.40203618599,1.2798690795898438
39.7472925,-83.8138045,1.70334785909,2.89715603778,1.19380817869,1.2879572629928588
39.747293,-83.8138026667,1.30454427961,2.90322085746,1.59867657785,1.347215723991394
39.7472935,-83.8138013333,1.21202565652,2.90773123564,1.69570557911,1.3915703773498536
39.7472936667,-83.8137995,1.48013643959,2.91354927095,1.43341283136,1.4647278547286988
39.7472938333,-83.8137976667,1.48013643959,2.91937668094,1.43924024134,1.4721686601638795
39.7472933333,-83.8137958333,1.83704837398,2.92475440111,1.08770602713,1.450948214530945
39.747293,-83.8137938333,1.73594500421,2.93079847523,1.19485347102,1.3701835870742798
39.7472931667,-83.8137921667,1.4711276743,2.93614918913,1.46502151483,1.324046778678894
39.7472923333,-83.81379,1.93797015842,2.94244600374,1.00447584532,1.2382593870162963
39.747291,-83.813789,2.49809154735,2.94476950352,0.446677956162,1.0397469341754912
39.7472905,-83.813787,1.81577498992,2.95083049559,1.13505550567,1.0492168486118316
39.7472896667,-83.8137855,2.07789482717,2.95512188956,0.877227062391,0.9856915771961212
39.7472905,-83.8137833333,1.20362249298,2.96256515817,1.75894266519,1.0444758236408234
39.7472903333,-83.8137821667,1.7126933814,2.96621470281,1.25352132141,1.0942849218845367
39.7472898333,-83.8137808333,1.92956699707,2.97022385775,1.04065686069,1.2130806922912598
39.7472888333,-83.8137798333,2.35619448309,2.97289929548,0.616704812396,1.109410548210144
39.747288,-83.8137781667,2.03444393921,2.97785252768,0.943408588476,1.1226468563079834
39.7472863333,-83.8137776667,2.85013585911,2.97858705057,0.128451191455,0.7965485513210296
39.7472853333,-83.8137765,2.27942260243,2.98187731802,0.702454715583,0.6863352239131928
39.7472838333,-83.8137756667,2.6344941492,2.98383142402,0.349337274827,0.5480713188648224
39.7472826667,-83.8137751667,2.73670086951,2.98487436214,0.248173492635,0.47436505258083345
39.7472816667,-83.8137741667,2.35619448309,2.98767862804,0.631484144954,0.4119801610708237
39.7472801667,-83.8137735,2.72336832401,2.98913233026,0.26576400625,0.43944272100925447
39.7472791667,-83.813772,2.15879893362,2.99366210244,0.834863168816,0.46592442095279696
39.7472775,-83.8137715,2.85013585911,2.99451429819,0.144378439081,0.4249326527118683
39.7472763333,-83.8137705,2.43296638447,2.99732847086,0.564362086389,0.48817037642002103
39.7472751667,-83.8137691667,2.28962632113,3.0013081593,0.711681838165,0.504209914803505
39.747274,-83.8137675,2.18152229405,3.0064714945,0.824949200455,0.6160469561815262
39.7472723333,-83.8137661667,2.46685171137,3.01030335816,0.543451646796,0.5577646523714066
39.7472705,-83.8137661667,3.14159265359,3.00945939194,-0.132133261646,0.502462312579155
39.7472696667,-83.8137646667,2.07789483119,3.01431945034,0.93642461915,0.5768748134374618
39.7472681667,-83.813765,-2.92292370872,3.01247125089,-0.347790347574,0.3649803727865219
39.7472661667,-83.8137635,2.49809154025,3.01686816455,0.518776624299,0.3037458509206772
39.747265,-83.8137628333,2.62244654197,3.01872221853,0.396275676568,0.2743106514215469
39.7472635,-83.813762,2.6344941492,3.02104503147,0.386550882272,0.37804747819900514
39.7472616667,-83.8137615,2.87534060542,3.02204820522,0.146707599796,0.22010407447814942
39.7472601667,-83.81376,2.35619449256,3.02684184077,0.670647348207,0.4237916111946106
39.7472593333,-83.8137596667,2.76108627648,3.02770689187,0.266620615395,0.373360413312912
39.7472578333,-83.8137583333,2.41495031291,3.03196829332,0.617017980411,0.41750887632369993
39.7472565,-83.8137573333,2.49809154053,3.03511619286,0.537024652323,0.4476036369800568
39.7472553333,-83.8137571667,2.99969559899,3.03527177587,0.0355761768861,0.4253773532807827
39.7472535,-83.8137585,-2.51279636395,3.02956835092,-0.740820592307,0.14308377131819724
39.747252,-83.8137593333,-2.6344941492,3.02581310953,-0.622878048456,-0.03481596484780312
39.747251,-83.8137601667,-2.44685438089,3.02224387503,-0.814087051262,-0.3210369683802128
39.747249,-83.813762,-2.39964538735,3.01440279775,-0.869137122073,-0.6022693254053593
39.747248,-83.8137626667,-2.55359005004,3.01139023459,-0.718205022547,-0.7530255675315857
39.7472461667,-83.8137645,-2.35619448825,3.00348435229,-0.923506466636,-0.7895627379417419
39.7472443333,-83.8137651667,-2.79282165001,2.99995108274,-0.490412574435,-0.7630696356296539
39.7472426667,-83.813766,-2.67794504629,2.99582213974,-0.609418121143,-0.7221358478069305
39.747241,-83.8137671667,-2.5308666892,2.99035283749,-0.761965780494,-0.7007015764713287
39.74724,-83.8137688333,-2.1112158302,2.98328905612,-1.18868042086,-0.7947966516017914
39.7472385,-83.8137696667,-2.63449414196,2.97910567378,-0.669585491438,-0.7440124571323394
39.7472365,-83.8137716667,-2.35619449197,2.96997502848,-0.95701578673,-0.8373331069946289
39.7472353333,-83.8137711667,2.7367008673,2.97114699817,0.234446130862,-0.6685602605342865
39.747233,-83.8137728333,-2.52134316905,2.96293963341,-0.798902504718,-0.6759476125240326
39.7472316667,-83.8137735,-2.67794504672,2.95932661325,-0.64591364721,-0.5673942625522613
39.7472298333,-83.8137743333,-2.71496516046,2.95463501685,-0.613585129869,-0.5561941921710968
39.7472283333,-83.8137753333,-2.55359004567,2.94947020525,-0.78012505626,-0.520816045999527
39.7472265,-83.813776,-2.79282165125,2.94532904666,-0.545034609271,-0.6767121911048889
39.7472248333,-83.8137773333,-2.46685171137,2.93855938038,-0.877774215433,-0.6924865365028381
39.747223,-83.8137778333,-2.87534060542,2.93497095382,-0.472873747937,-0.6578785538673401
39.7472205,-83.8137793333,-2.60117315457,2.92662508151,-0.755387071099,-0.6862389445304871
39.7472191667,-83.8137795,-3.01723765904,2.9247307225,-0.341216925637,-0.5984573125839233
39.747218,-83.8137803333,-2.52134317049,2.92020214486,-0.841639991832,-0.6577783942222595
39.7472156667,-83.8137813333,-2.73670086216,2.9138183843,-0.632666060722,-0.6087567567825317
39.747214,-83.8137831667,-2.30861138904,2.9044933337,-1.07008058444,-0.7281981348991394
39.7472121667,-83.813783,3.05093276674,2.90332577075,-0.147606995992,-0.6066421210765839
39.7472106667,-83.813784,-2.55359005004,2.89753249093,-0.832062766208,-0.704811292886734
39.7472095,-83.8137858333,-2.13752554708,2.88849993143,-1.25715982867,-0.7879152595996857
39.7472078333,-83.813786,-3.0419240011,2.88594611103,-0.355315195051,-0.73244509100914
39.7472056667,-83.8137873333,-2.58993766777,2.87777204458,-0.815475594836,-0.6815240800380706
39.7472045,-83.8137881667,-2.52134316761,2.87282099462,-0.889021144954,-0.8298069119453431
39.7472033333,-83.8137888333,-2.62244654197,2.8685494038,-0.792189361411,-0.8218322277069092
39.7472013333,-83.81379,-2.61351820516,2.86103869662,-0.808628405392,-0.7321259379386902
39.7472,-83.8137901667,-3.0172376597,2.85863432025,-0.407313327229,-0.7425255596637725
39.7471988333,-83.8137915,-2.28962632642,2.85131452044,-1.14224446032,-0.8078793346881866
39.7471975,-83.8137923333,-2.58299333298,2.8459105527,-0.854281421501,-0.8009313881397248
39.7471953333,-83.8137928333,-2.91479380625,2.84078399577,-0.527607505151,-0.7480150163173676
39.7471943333,-83.8137935,-2.55359005004,2.83645836056,-0.893136896574,-0.7649167239665985
39.7471925,-83.8137946667,-2.57486343782,2.82869577831,-0.879626091046,-0.8593792796134949
39.7471911667,-83.813795,-2.89661399046,2.82528220378,-0.561289112934,-0.7431882143020629
39.7471895,-83.8137956667,-2.76108627795,2.81984209919,-0.702256930039,-0.7127833127975464
